,,,,,,,,,,,,,,,,
,26.02.25(수),,260,주초,주말,TIGER 미국나스닥100 주종가,지수 추세,시장 평가,,Date,TIGER 미국나스닥100 ,Date,KODEX 미국나스닥100레버리지(합성 H),TIGER 미국나스닥100레버리지(합성),ACE 미국빅테크TOP7 Plus레버리지(합성),TIMEFOLIO 미국나스닥100액티브
,19.09.13(금),,,13.03.18(월),13.03.22(금),"₩13,750","₩13,829",0.57%,,11.04.20(수),"₩10,910",22.07.12(화),"₩4,820","₩8,245",,"₩9,700"
,19.10.03(목),,,13.03.25(월),13.03.29(금),"₩13,950","₩13,862",-0.63%,,11.04.21(목),"₩11,095",22.07.13(수),"₩4,805","₩8,155",,"₩9,685"
,19.10.09(수),,,13.04.01(월),13.04.05(금),"₩13,940","₩13,893",-0.33%,,11.04.22(금),"₩11,180",22.07.14(목),"₩4,745","₩8,085",,"₩9,600"
,19.12.25(수),,,13.04.08(월),13.04.12(금),"₩14,330","₩13,936",-2.75%,,11.04.25(월),"₩11,180",22.07.15(금),"₩4,830","₩8,410",,"₩9,785"
,19.12.31(화),,,13.04.15(월),13.04.19(금),"₩13,650","₩13,957",2.25%,,11.04.26(화),"₩11,270",22.07.18(월),"₩5,060","₩8,725",,"₩10,000"
,20.01.01(수),,,13.04.22(월),13.04.26(금),"₩14,010","₩13,988",-0.16%,,11.04.27(수),"₩11,280",22.07.20(수),"₩5,235","₩8,965",,"₩10,130"
,20.01.24(금),,,13.04.29(월),13.05.03(금),"₩14,165","₩14,023",-1.00%,,11.04.28(목),"₩11,260",22.07.21(목),"₩5,360","₩9,100",,"₩10,200"
,20.01.27(월),,,13.05.06(월),13.05.10(금),"₩14,455","₩14,065",-2.70%,,11.04.29(금),"₩11,245",22.07.22(금),"₩5,420","₩9,295",,"₩10,320"
,20.03.16(월),,,13.05.13(월),13.05.16(목),"₩14,875","₩14,114",-5.12%,,11.05.02(월),"₩11,160",22.07.25(월),"₩5,310","₩9,090",,"₩10,235"
,20.04.15(수),,,13.05.20(월),13.05.24(금),"₩14,975","₩14,173",-5.36%,,11.05.03(화),"₩11,210",22.07.26(화),"₩5,230","₩8,870",,"₩10,095"
,20.04.30(목),,,13.05.27(월),13.05.31(금),"₩15,015","₩14,227",-5.25%,,11.05.04(수),"₩11,250",22.07.27(수),"₩5,205","₩8,910",,"₩10,115"
,20.05.01(금),,,13.06.03(월),13.06.07(금),"₩14,560","₩14,267",-2.01%,,11.05.06(금),"₩11,240",22.07.28(목),"₩5,445","₩9,105",,"₩10,280"
,20.05.05(화),,,13.06.10(월),13.06.14(금),"₩14,810","₩14,314",-3.35%,,11.05.09(월),"₩11,240",22.07.29(금),"₩5,740","₩9,645",,"₩10,550"
,20.09.30(수),,,13.06.17(월),13.06.21(금),"₩14,855","₩14,360",-3.33%,,11.05.11(수),"₩11,330",22.08.01(월),"₩5,740","₩9,695",,"₩10,620"
,20.10.01(목),,,13.06.24(월),13.06.28(금),"₩14,850","₩14,406",-2.99%,,11.05.12(목),"₩11,295",22.08.02(화),"₩5,730","₩9,710",,"₩10,595"
,20.10.02(금),,,13.07.01(월),13.07.05(금),"₩15,030","₩14,455",-3.83%,,11.05.13(금),"₩11,445",22.08.03(수),"₩5,770","₩9,850",,"₩10,715"
,20.10.09(금),,,13.07.08(월),13.07.12(금),"₩15,220","₩14,508",-4.68%,,11.05.16(월),"₩11,360",22.08.04(목),"₩6,020","₩10,285",,"₩10,990"
,20.12.25(금),,,13.07.15(월),13.07.19(금),"₩15,425","₩14,565",-5.58%,,11.05.17(화),"₩11,125",22.08.05(금),"₩6,140","₩10,290",,"₩10,970"
,20.12.31(목),,,13.07.22(월),13.07.26(금),"₩15,160","₩14,613",-3.61%,,11.05.18(수),"₩11,165",22.08.08(월),"₩6,055","₩10,265",,"₩10,945"
,21.01.01(금),,,13.07.29(월),13.08.02(금),"₩15,650","₩14,674",-6.24%,,11.05.19(목),"₩11,240",22.08.09(화),"₩5,990","₩10,130",,"₩10,845"
,21.02.11(목),,,13.08.05(월),13.08.09(금),"₩15,515","₩14,729",-5.06%,,11.05.20(금),"₩11,180",22.08.10(수),"₩5,800","₩9,900",,"₩10,715"
,21.02.12(금),,,13.08.12(월),13.08.16(금),"₩15,360","₩14,780",-3.78%,,11.05.23(월),"₩11,245",22.08.11(목),"₩6,200","₩10,490",,"₩11,035"
,21.03.01(월),,,13.08.19(월),13.08.23(금),"₩15,480","₩14,832",-4.18%,,11.05.24(화),"₩11,070",22.08.12(금),"₩6,130","₩10,330",,"₩10,955"
