,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,KODEX나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,23.11.03(금),"₩ 6,675",9.0%,9.39%,,"-₩ 865,700",-129,-129,"-₩ 861,075",1445,"₩ 10,506,450","₩ 9,645,375","₩ 11,218,600","₩ 20,863,975",53.77%,14.09%
,,,,,,,,,,23.11.10(금),"₩ 6,925",3.7%,7.86%,,"-₩ 361,250",-52,-52,"-₩ 360,100",1393,"₩ 10,006,625","₩ 9,646,525","₩ 11,578,700","₩ 21,225,225",54.55%,12.60%
,,,,,,,,,,23.11.17(금),"₩ 7,530",8.7%,5.19%,,"-₩ 842,765",-111,-111,"-₩ 835,830",1282,"₩ 10,489,290","₩ 9,653,460","₩ 12,414,530","₩ 22,067,990",56.26%,9.13%
,,,,,,,,,,23.11.24(금),"₩ 7,680",2.0%,3.49%,,"-₩ 128,264",-16,-16,"-₩ 122,880",1266,"₩ 9,845,760","₩ 9,722,880","₩ 12,537,410","₩ 22,260,290",56.32%,8.34%
,,,,,,,,,,23.12.01(금),"₩ 7,605",-1.0%,4.21%,,"₩ 63,332",8,8,"₩ 60,840",1274,"₩ 9,627,930","₩ 9,688,770","₩ 12,476,570","₩ 22,165,340",56.29%,8.73%
,,,,,,,,,,23.12.08(금),"₩ 7,660",0.7%,3.79%,,"-₩ 46,737",-6,-6,"-₩ 45,960",1268,"₩ 9,758,840","₩ 9,712,880","₩ 12,522,530","₩ 22,235,410",56.32%,8.44%
,,,,,,,,,,23.12.15(금),"₩ 8,215",7.2%,1.31%,,"-₩ 469,395",-57,-57,"-₩ 468,255",1211,"₩ 10,416,620","₩ 9,948,365","₩ 12,990,785","₩ 22,939,150",56.63%,5.54%
,,,,,,,,,,23.12.22(금),"₩ 8,330",1.4%,0.10%,,"-₩ 92,890",-11,-11,"-₩ 91,630",1200,"₩ 10,087,630","₩ 9,996,000","₩ 13,082,415","₩ 23,078,415",56.69%,4.97%
,,,,,,,,,,23.12.28(목),"₩ 8,585",3.1%,-0.24%,,"-₩ 204,102",-23,-23,"-₩ 197,455",1177,"₩ 10,302,000","₩ 10,104,545","₩ 13,279,870","₩ 23,384,415",56.79%,3.71%
,,,,,,,,,,24.01.05(금),"₩ 7,885",-8.2%,2.06%,,"₩ 549,541",69,69,"₩ 544,065",1246,"₩ 9,280,645","₩ 9,824,710","₩ 12,735,805","₩ 22,560,515",56.45%,7.10%
,,,,,,,,,,24.01.12(금),"₩ 8,410",6.7%,-0.87%,,"-₩ 436,318",-51,-51,"-₩ 428,910",1195,"₩ 10,478,860","₩ 10,049,950","₩ 13,164,715","₩ 23,214,665",56.71%,4.41%
,,,,,,,,,,24.01.19(금),"₩ 8,625",2.6%,-3.73%,,"-₩ 171,369",-19,-19,"-₩ 163,875",1176,"₩ 10,306,875","₩ 10,143,000","₩ 13,328,590","₩ 23,471,590",56.79%,3.35%
,,,,,,,,,,24.01.26(금),"₩ 8,965",3.9%,-5.29%,,"-₩ 266,693",-29,-29,"-₩ 259,985",1147,"₩ 10,542,840","₩ 10,282,855","₩ 13,588,575","₩ 23,871,430",56.92%,1.70%
,,,,,,,,,,24.02.02(금),"₩ 9,090",1.4%,-4.57%,,"-₩ 95,631",-10,-10,"-₩ 90,900",1137,"₩ 10,426,230","₩ 10,335,330","₩ 13,679,475","₩ 24,014,805",56.96%,1.11%
,,,,,,,,,,24.02.08(목),"₩ 9,345",2.8%,-6.05%,,"-₩ 173,961",-18,-18,"-₩ 168,210",1119,"₩ 10,625,265","₩ 10,457,055","₩ 13,847,685","₩ 24,304,740",56.98%,0.00%
,,,,,,,,,,24.02.16(금),"₩ 9,465",1.3%,-6.78%,,"-₩ 80,568",-8,-8,"-₩ 75,720",1111,"₩ 10,591,335","₩ 10,515,615","₩ 13,923,405","₩ 24,439,020",56.97%,0.00%
,,,,,,,,,,24.02.23(금),"₩ 9,535",0.7%,-6.84%,,"-₩ 46,662",-4,-4,"-₩ 38,140",1107,"₩ 10,593,385","₩ 10,555,245","₩ 13,961,545","₩ 24,516,790",56.95%,0.00%
,,,,,,,,,,24.02.29(목),"₩ 9,445",-0.9%,-6.02%,,"₩ 119,556",12,12,"₩ 113,340",1119,"₩ 10,455,615","₩ 10,568,955","₩ 13,848,205","₩ 24,417,160",56.72%,0.41%
,,,,,,,,,,24.03.08(금),"₩ 9,845",4.2%,-6.90%,,"-₩ 268,560",-27,-27,"-₩ 265,815",1092,"₩ 11,016,555","₩ 10,750,740","₩ 14,114,020","₩ 24,864,760",56.76%,0.00%
