,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Date,TIGER나스닥레버리지,주가변동%,TIGER미국나스닥100시장평가,실매매주가,목표 매매금,목표 매매 수량,실 매매 수량,목표 실 매매금,현 보유 주식수,현 평가금,New 평가금,예수금,총자산,현금비중,DD
,,,,,,,,,,24.01.26(금),"₩ 16,025",3.7%,-5.29%,,"-₩ 284,526",-17,-17,"-₩ 272,425",738,"₩ 12,098,875","₩ 11,826,450","₩ 14,761,535","₩ 26,587,985",55.52%,0.00%
,,,,,,,,,,24.02.02(금),"₩ 15,905",-0.7%,-4.57%,,"₩ 59,070",3,3,"₩ 47,715",741,"₩ 11,737,890","₩ 11,785,605","₩ 14,713,820","₩ 26,499,425",55.53%,0.33%
,,,,,,,,,,24.02.08(목),"₩ 16,500",3.7%,-6.05%,,"-₩ 264,537",-16,-16,"-₩ 264,000",725,"₩ 12,226,500","₩ 11,962,500","₩ 14,977,820","₩ 26,940,320",55.60%,0.00%
,,,,,,,,,,24.02.16(금),"₩ 16,885",2.3%,-6.78%,,"-₩ 167,475",-9,-9,"-₩ 151,965",716,"₩ 12,241,625","₩ 12,089,660","₩ 15,129,785","₩ 27,219,445",55.58%,0.00%
,,,,,,,,,,24.02.23(금),"₩ 16,940",0.3%,-6.84%,,"-₩ 23,628",-1,-1,"-₩ 16,940",715,"₩ 12,129,040","₩ 12,112,100","₩ 15,146,725","₩ 27,258,825",55.57%,0.00%
,,,,,,,,,,24.02.29(목),"₩ 16,710",-1.4%,-6.02%,,"₩ 197,340",11,11,"₩ 183,810",726,"₩ 11,947,650","₩ 12,131,460","₩ 14,962,915","₩ 27,094,375",55.23%,0.60%
,,,,,,,,,,24.03.08(금),"₩ 17,125",2.5%,-6.90%,,"-₩ 180,774",-10,-10,"-₩ 171,250",716,"₩ 12,432,750","₩ 12,261,500","₩ 15,134,165","₩ 27,395,665",55.24%,0.00%
,,,,,,,,,,24.03.15(금),"₩ 16,765",-2.1%,-5.70%,,"₩ 171,926",10,10,"₩ 167,650",726,"₩ 12,003,740","₩ 12,171,390","₩ 14,966,515","₩ 27,137,905",55.15%,0.94%
,,,,,,,,,,24.03.22(금),"₩ 17,705",5.6%,-7.92%,,"-₩ 409,464",-23,-23,"-₩ 407,215",703,"₩ 12,853,830","₩ 12,446,615","₩ 15,373,730","₩ 27,820,345",55.26%,0.00%
,,,,,,,,,,24.03.29(금),"₩ 17,795",0.5%,-8.15%,,"-₩ 37,962",-2,-2,"-₩ 35,590",701,"₩ 12,509,885","₩ 12,474,295","₩ 15,409,320","₩ 27,883,615",55.26%,0.00%
