Date,Close,Open,High,Low,Volume
2023-05-02,85746.55,85746.55,85746.55,85746.55,0
2023-05-03,86455.6,86455.6,86455.6,86455.6,0
2023-05-04,87015.87,87015.87,87015.87,87015.87,0
2023-05-08,85938.72,85938.72,85938.72,85938.72,0
2023-05-09,86519.18,86519.18,86519.18,86519.18,0
2023-05-10,86606.57,86606.57,86606.57,86606.57,0
2023-05-11,86992.43,86992.43,86992.43,86992.43,0
2023-05-12,86905.59,86905.59,86905.59,86905.59,0
2023-05-15,86529.97,86529.97,86529.97,86529.97,0
2023-05-16,86423.64,86423.64,86423.64,86423.64,0
2023-05-17,85456.88,85456.88,85456.88,85456.88,0
2023-05-18,84736.58,84736.58,84736.58,84736.58,0
2023-05-19,83766.87,83766.87,83766.87,83766.87,0
2023-05-22,83586.02,83586.02,83586.02,83586.02,0
2023-05-23,83131.48,83131.48,83131.48,83131.48,0
2023-05-24,84041.72,84041.72,84041.72,84041.72,0
2023-05-25,83146.1,83146.1,83146.1,83146.1,0
2023-05-26,83299.49,83299.49,83299.49,83299.49,0
2023-05-30,83205.03,83205.03,83205.03,83205.03,0
2023-05-31,83600.54,83600.54,83600.54,83600.54,0
2023-06-01,83570.29,83570.29,83570.29,83570.29,0
2023-06-02,82780.94,82780.94,82780.94,82780.94,0
2023-06-05,82310.93,82310.93,82310.93,82310.93,0
2023-06-07,82051.76,82051.76,82051.76,82051.76,0
2023-06-08,81608.62,81608.62,81608.62,81608.62,0
2023-06-09,81789.03,81789.03,81789.03,81789.03,0
2023-06-12,81277.42,81277.42,81277.42,81277.42,0
2023-06-13,80112.59,80112.59,80112.59,80112.59,0
2023-06-14,80024.21,80024.21,80024.21,80024.21,0
2023-06-15,79505.6,79505.6,79505.6,79505.6,0
2023-06-16,80572.35,80572.35,80572.35,80572.35,0
2023-06-19,80422.05,80422.05,80422.05,80422.05,0
2023-06-20,80842.85,80842.85,80842.85,80842.85,0
2023-06-21,80477.87,80477.87,80477.87,80477.87,0
2023-06-22,80398.54,80398.54,80398.54,80398.54,0
2023-06-23,80855.09,80855.09,80855.09,80855.09,0
2023-06-26,81223.66,81223.66,81223.66,81223.66,0
2023-06-27,80458.07,80458.07,80458.07,80458.07,0
2023-06-28,80325.65,80325.65,80325.65,80325.65,0
2023-06-29,80436.06,80436.06,80436.06,80436.06,0
2023-06-30,81104.83,81104.83,81104.83,81104.83,0
2023-07-03,80446.97,80446.97,80446.97,80446.97,0
2023-07-04,80493.1,80493.1,80493.1,80493.1,0
2023-07-05,80710.45,80710.45,80710.45,80710.45,0
2023-07-06,80738.79,80738.79,80738.79,80738.79,0
2023-07-07,80657.13,80657.13,80657.13,80657.13,0
2023-07-10,80756.27,80756.27,80756.27,80756.27,0
2023-07-11,80607.79,80607.79,80607.79,80607.79,0
2023-07-12,80396.41,80396.41,80396.41,80396.41,0
2023-07-13,80070.58,80070.58,80070.58,80070.58,0
2023-07-14,79927.96,79927.96,79927.96,79927.96,0
2023-07-17,79795.49,79795.49,79795.49,79795.49,0
2023-07-18,79700.99,79700.99,79700.99,79700.99,0
2023-07-19,80342.32,80342.32,80342.32,80342.32,0
2023-07-20,81025.32,81025.32,81025.32,81025.32,0
2023-07-21,81201.97,81201.97,81201.97,81201.97,0
2023-07-24,80956.71,80956.71,80956.71,80956.71,0
2023-07-25,80456.39,80456.39,80456.39,80456.39,0
2023-07-26,80897.76,80897.76,80897.76,80897.76,0
2023-07-27,80729.9,80729.9,80729.9,80729.9,0
2023-07-28,80504.03,80504.03,80504.03,80504.03,0
2023-07-31,80358.65,80358.65,80358.65,80358.65,0
2023-08-01,80847.91,80847.91,80847.91,80847.91,0
